chr	source	start	end	strand	gene_id	gene_name	gene_type	gene_status	level	num.dup	num.lap
chr1	HAVANA	14404	29570	-	ENSG00000227232.5	WASH7P	unprocessed_pseudogene	KNOWN	2	2	1
chr1	ENSEMBL	516376	516479	-	ENSG00000278757.1	U6	snRNA	NOVEL	3	34	1
chr1	ENSEMBL	1589065	1589350	-	ENSG00000280747.1	Metazoa_SRP	misc_RNA	NOVEL	3	306	1
chr1	HAVANA	3735601	3747336	-	ENSG00000227372.9	TP73-AS1	antisense	KNOWN	2	2	1
chr1	ENSEMBL	3736943	3737103	+	ENSG00000276189.1	TP73-AS1	misc_RNA	NOVEL	3	2	1
chr1	ENSEMBL	7982881	7982983	-	ENSG00000200344.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	8328067	8328179	+	ENSG00000252254.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	8511795	8511919	-	ENSG00000221083.1	SNORA77	snoRNA	NOVEL	3	5	1
chr1	ENSEMBL	8796571	8796673	-	ENSG00000222511.2	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	8862002	8862260	+	ENSG00000280816.1	Metazoa_SRP	misc_RNA	NOVEL	3	306	1
chr1	ENSEMBL	9082696	9082879	+	ENSG00000252404.1	SCARNA16	scaRNA	NOVEL	3	6	1
chr1	ENSEMBL	10999862	10999945	-	ENSG00000281322.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	HAVANA	11012344	11026420	+	ENSG00000120948.14	TARDBP	protein_coding	KNOWN	2	2	2
chr1	HAVANA	11012662	11030528	+	ENSG00000277726.3	TARDBP	protein_coding	NOVEL	2	2	2
chr1	ENSEMBL	11070091	11070353	+	ENSG00000281350.1	Metazoa_SRP	misc_RNA	NOVEL	3	306	1
chr1	ENSEMBL	12024012	12024124	-	ENSG00000202461.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	12065002	12065246	-	ENSG00000281342.1	Metazoa_SRP	misc_RNA	NOVEL	3	306	1
chr1	ENSEMBL	12221148	12221271	-	ENSG00000252969.1	SNORA70	snoRNA	NOVEL	3	30	1
chr1	ENSEMBL	12507246	12507397	+	ENSG00000239149.1	SNORA59A	snoRNA	KNOWN	3	2	1
chr1	HAVANA	12824605	12831410	-	ENSG00000239810.3	PRAMEF11	protein_coding	KNOWN	2	2	2
chr1	ENSEMBL	12824942	12828663	-	ENSG00000279195.1	PRAMEF11	protein_coding	KNOWN	3	2	2
chr1	HAVANA	13049476	13158092	-	ENSG00000280267.2	PRAMEF25	protein_coding	NOVEL	2	2	1
chr1	HAVANA	13172455	13179464	+	ENSG00000204505.4	PRAMEF25	protein_coding	NOVEL	2	2	1
chr1	ENSEMBL	13696070	13696199	-	ENSG00000253085.1	SCARNA11	scaRNA	NOVEL	3	4	1
chr1	ENSEMBL	15542165	15542304	+	ENSG00000251866.1	SCARNA21	scaRNA	NOVEL	3	4	1
chr1	ENSEMBL	15763490	15763757	+	ENSG00000280788.1	Metazoa_SRP	misc_RNA	NOVEL	3	306	1
chr1	ENSEMBL	16514122	16514285	-	ENSG00000206652.1	RNU1-1	snRNA	KNOWN	3	2	1
chr1	ENSEMBL	16534081	16534224	-	ENSG00000277344.1	U1	snRNA	NOVEL	3	17	1
chr1	HAVANA	16673003	16673512	+	ENSG00000237847.2	FAM231A	protein_coding	KNOWN	2	2	1
chr1	HAVANA	16733951	16734461	-	ENSG00000279132.1	FAM231A	protein_coding	NOVEL	2	2	1
chr1	ENSEMBL	16873708	16873851	+	ENSG00000277234.1	U1	snRNA	NOVEL	3	17	1
chr1	ENSEMBL	17158197	17158284	+	ENSG00000281330.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	21741140	21741195	+	ENSG00000281866.1	U7	snRNA	NOVEL	3	16	1
chr1	ENSEMBL	21987481	21987777	+	ENSG00000273610.1	Metazoa_SRP	misc_RNA	NOVEL	3	306	1
chr1	ENSEMBL	22010650	22010946	+	ENSG00000278124.1	Metazoa_SRP	misc_RNA	NOVEL	3	306	1
chr1	ENSEMBL	23370254	23370346	+	ENSG00000201405.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	23538035	23538313	+	ENSG00000280791.1	Metazoa_SRP	misc_RNA	NOVEL	3	306	1
chr1	ENSEMBL	24625411	24625513	-	ENSG00000239106.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	25877496	25877605	+	ENSG00000207302.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	26006006	26006130	+	ENSG00000252190.1	SCARNA17	scaRNA	NOVEL	3	5	1
chr1	ENSEMBL	26006216	26006299	+	ENSG00000252691.1	SCARNA18	scaRNA	NOVEL	3	3	1
chr1	ENSEMBL	26593940	26594041	-	ENSG00000252802.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	26642286	26642389	-	ENSG00000238316.1	snoU13	snoRNA	NOVEL	3	34	1
chr1	ENSEMBL	27064991	27065365	-	ENSG00000280403.1	FKSG62	protein_coding	KNOWN	3	2	1
chr1	ENSEMBL	27255464	27255567	-	ENSG00000252098.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	28001639	28001894	-	ENSG00000281570.1	Metazoa_SRP	misc_RNA	NOVEL	3	306	1
chr1	ENSEMBL	28422555	28422655	-	ENSG00000206779.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	28580381	28580512	-	ENSG00000273544.1	SNORA44	snoRNA	KNOWN	3	2	1
chr1	ENSEMBL	28580920	28581056	-	ENSG00000274582.1	SNORA16A	snoRNA	NOVEL	3	2	2
chr1	ENSEMBL	28580920	28581054	-	ENSG00000280498.1	SNORA16A	snoRNA	KNOWN	3	2	2
chr1	ENSEMBL	28648600	28648733	+	ENSG00000274978.1	RNU11	snRNA	KNOWN	3	2	2
chr1	HAVANA	28648600	28648730	+	ENSG00000270103.3	RNU11	lincRNA	KNOWN	2	2	2
chr1	ENSEMBL	28689665	28689794	+	ENSG00000252777.1	SCARNA24	scaRNA	NOVEL	3	2	1
chr1	ENSEMBL	28881726	28881835	-	ENSG00000199756.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	28985710	28985810	+	ENSG00000206704.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	29041199	29041480	+	ENSG00000277958.1	Metazoa_SRP	misc_RNA	NOVEL	3	306	1
chr1	ENSEMBL	29171285	29171453	-	ENSG00000277916.1	uc_338	misc_RNA	NOVEL	3	36	1
chr1	ENSEMBL	30771747	30771987	-	ENSG00000280823.1	Metazoa_SRP	misc_RNA	NOVEL	3	306	1
chr1	ENSEMBL	31503631	31503744	-	ENSG00000265961.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	32087523	32087813	-	ENSG00000276493.1	Metazoa_SRP	misc_RNA	NOVEL	3	306	1
chr1	ENSEMBL	32269338	32269597	-	ENSG00000277617.1	Metazoa_SRP	misc_RNA	NOVEL	3	306	1
chr1	ENSEMBL	32286452	32286561	-	ENSG00000252450.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	32639951	32640052	+	ENSG00000200591.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	33029232	33029576	-	ENSG00000276645.1	Metazoa_SRP	misc_RNA	NOVEL	3	306	1
chr1	ENSEMBL	35195969	35196062	+	ENSG00000201868.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	35310274	35310425	+	ENSG00000201542.1	SNORA62	snoRNA	NOVEL	3	7	1
chr1	ENSEMBL	35399997	35400319	+	ENSG00000278702.1	Metazoa_SRP	misc_RNA	NOVEL	3	306	1
chr1	ENSEMBL	36418450	36418578	-	ENSG00000201448.1	SNORA63	snoRNA	NOVEL	3	13	1
chr1	ENSEMBL	37737955	37738054	-	ENSG00000200421.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	37884237	37884317	+	ENSG00000252448.1	SNORA63	snoRNA	NOVEL	3	13	1
chr1	ENSEMBL	37953508	37953780	+	ENSG00000277168.1	Metazoa_SRP	misc_RNA	NOVEL	3	306	1
chr1	ENSEMBL	38950825	38950925	-	ENSG00000207466.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	39881566	39881678	-	ENSG00000202222.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	39944890	39944998	-	ENSG00000207356.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	44153385	44153480	-	ENSG00000200171.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	44776490	44776593	+	ENSG00000200913.1	SNORD46	snoRNA	KNOWN	3	3	1
chr1	ENSEMBL	44778390	44778458	+	ENSG00000281859.1	SNORD38B	snoRNA	KNOWN	3	2	2
chr1	ENSEMBL	44778390	44778456	+	ENSG00000207421.1	SNORD38B	snoRNA	KNOWN	3	2	2
chr1	ENSEMBL	50499758	50499857	-	ENSG00000280887.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	51107222	51107331	+	ENSG00000200262.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	51724775	51724896	-	ENSG00000212624.1	SNORA26	snoRNA	NOVEL	3	11	1
chr1	ENSEMBL	53771018	53771153	-	ENSG00000201003.1	SNORA58	snoRNA	NOVEL	3	3	1
chr1	ENSEMBL	55484871	55484972	-	ENSG00000272051.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	62211557	62211666	+	ENSG00000200174.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	63338263	63338372	+	ENSG00000252784.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	63548977	63549112	-	ENSG00000276884.1	DLEU2_6	misc_RNA	NOVEL	3	3	1
chr1	ENSEMBL	63549133	63549216	-	ENSG00000278287.1	DLEU2_5	misc_RNA	NOVEL	3	2	1
chr1	ENSEMBL	63549227	63549284	-	ENSG00000277565.1	DLEU2_4	misc_RNA	NOVEL	3	2	1
chr1	ENSEMBL	63549294	63549366	-	ENSG00000275823.1	DLEU2_3	misc_RNA	NOVEL	3	2	1
chr1	ENSEMBL	63549374	63549463	-	ENSG00000277689.1	DLEU2_2	misc_RNA	NOVEL	3	2	1
chr1	ENSEMBL	63549489	63549608	-	ENSG00000274199.1	DLEU2_1	misc_RNA	NOVEL	3	2	1
chr1	ENSEMBL	64066640	64066741	-	ENSG00000200508.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	67102645	67102779	-	ENSG00000252433.1	SNORA31	snoRNA	NOVEL	3	27	1
chr1	HAVANA	67307364	67396900	+	ENSG00000081985.9	IL12RB2	protein_coding	KNOWN	2	2	2
chr1	ENSEMBL	67320369	67395580	+	ENSG00000281152.1	IL12RB2	protein_coding	KNOWN	3	2	2
chr1	ENSEMBL	70430896	70431178	+	ENSG00000278636.1	Metazoa_SRP	misc_RNA	NOVEL	3	306	1
chr1	ENSEMBL	84277321	84277457	+	ENSG00000199959.1	SNORA2	snoRNA	NOVEL	3	3	1
chr1	ENSEMBL	85264296	85264402	+	ENSG00000223254.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	85435175	85435284	-	ENSG00000199459.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	85592280	85592356	+	ENSG00000199934.1	SNORD81	snoRNA	NOVEL	3	3	1
chr1	ENSEMBL	88520000	88520170	+	ENSG00000274321.1	uc_338	misc_RNA	NOVEL	3	36	1
chr1	ENSEMBL	89020246	89020365	-	ENSG00000202385.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	90657750	90657964	+	ENSG00000199666.2	U3	snoRNA	NOVEL	3	56	1
chr1	ENSEMBL	91261625	91261724	+	ENSG00000206817.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	92846059	92846182	+	ENSG00000207022.1	SNORA51	snoRNA	NOVEL	3	13	1
chr1	ENSEMBL	93027410	93027506	-	ENSG00000251837.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	93385711	93385817	+	ENSG00000207379.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	95125511	95125609	-	ENSG00000206679.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	99791662	99791753	+	ENSG00000202254.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	101133153	101133339	+	ENSG00000252765.1	SCARNA16	scaRNA	NOVEL	3	6	1
chr1	ENSEMBL	109100193	109100612	+	ENSG00000278249.1	SCARNA2	scaRNA	KNOWN	3	2	2
chr1	HAVANA	109100193	109100619	+	ENSG00000270066.3	SCARNA2	lincRNA	KNOWN	2	2	2
chr1	ENSEMBL	110272484	110272607	+	ENSG00000200536.1	SNORA25	snoRNA	NOVEL	3	20	1
chr1	ENSEMBL	110764408	110764506	-	ENSG00000199710.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	111446798	111446908	+	ENSG00000199890.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	112371004	112371107	+	ENSG00000238761.1	snoU13	snoRNA	NOVEL	3	34	1
chr1	ENSEMBL	113079537	113079847	+	ENSG00000281918.1	Metazoa_SRP	misc_RNA	NOVEL	3	306	1
chr1	ENSEMBL	114490724	114490832	+	ENSG00000201114.1	Y_RNA	misc_RNA	NOVEL	3	782	1
chr1	ENSEMBL	115621872	115622005	-	ENSG00000207502.1	SNORA42	snoRNA	NOVEL	3	4	1
chr1	ENSEMBL	116278606	116278821	+	ENSG00000221040.2	U3	snoRNA	NOVEL	3	56	1
chr1	ENSEMBL	116452536	116452627	+	ENSG00000200547.1	Y_RNA	misc_RNA	NOVEL	3	782	1
